FACIL,Country,REGION,Zone,FACTYPE,MGA,FTYPE,Factype2,ownership,water_source,soapwater,st_precautions,preparedness,prep2,TBservice,HIVcare,meetings,quality,inpatient,numberbeds,total_full,outpatients,LATNUM,LONGNUM
833,HAI,7,,7,4,2,2,2,0,1,0,0.272727273,0,1,0,0,0,0,1,2,,18.23449,-73.887583
834,HAI,7,,7,1,2,2,1,0,0,0,0.363636364,0,0,0,1,0,0,,3,,18.288102,-73.883737
835,HAI,7,,6,1,1,2,1,1,1,1,0.818181818,1,1,1,1,1,0,2,20,,18.202853,-73.889018
836,HAI,7,,5,1,2,2,1,1,1,0,,0,0,0,0,0,0,1,11,,18.267263,-73.947338
839,HAI,7,,5,3,2,2,2,0,1,0,,0,0,0,0,0,0,,2,,18.358495,-73.870273
840,HAI,7,,3,1,1,1,1,1,1,0,0.545454545,0,1,1,1,0,1,15,35,0,18.312668,-73.86569
841,HAI,7,,7,4,1,2,2,1,1,0,0.545454545,0,1,0,1,0,0,,11,,18.295385,-73.828733
842,HAI,7,,7,1,2,2,1,1,1,0,,1,1,0,0,0,0,,7,,18.281018,-73.843675
843,HAI,7,,7,4,1,2,2,1,1,0,0.454545455,0,1,0,1,0,0,,6,,18.328997,-73.852878
844,HAI,7,,6,4,2,2,2,1,1,0,0.545454545,1,1,0,1,0,0,3,8,,18.344968,-73.777008
845,HAI,7,,7,1,1,2,1,0,1,0,0.545454545,1,1,0,0,0,0,,4,,18.35593,-73.722915
846,HAI,7,,7,1,2,2,1,0,0,0,,0,1,0,1,0,0,,5,,18.353468,-73.773337
847,HAI,7,,7,2,2,2,2,1,1,0,0.272727273,0,0,0,1,0,0,3,7,,18.10778,-73.700165
848,HAI,7,,6,1,2,2,1,0,1,1,0.545454545,1,1,1,1,0,0,2,48,,18.083148,-73.654337
850,HAI,7,,7,3,2,2,2,1,1,0,,0,0,0,0,0,0,,1,,18.073898,-73.882637
851,HAI,7,,3,1,2,1,1,1,1,1,0.909090909,1,1,1,1,0,1,22,35,112,18.082593,-73.920312
852,HAI,7,,5,3,1,2,2,1,1,0,0.636363636,0,1,0,1,0,0,,12,,18.109677,-73.939095
853,HAI,7,,7,1,2,2,1,0,1,0,0.545454545,1,0,0,0,0,0,,2,,18.060223,-73.884667
854,HAI,7,,7,1,2,2,1,0,0,0,,0,0,0,0,0,0,,1,,18.132053,-73.946993
855,HAI,7,,7,1,2,2,1,1,1,0,0.545454545,1,1,0,1,0,0,,2,,18.115177,-73.852172
856,HAI,7,,6,1,2,2,1,0,1,0,0.363636364,0,1,0,0,0,0,1,20,,18.076123,-73.812615
857,HAI,7,,7,1,2,2,1,1,1,1,0.636363636,0,0,0,0,1,0,,4,,18.173873,-73.916505
858,HAI,7,,6,1,1,2,1,0,1,0,0.363636364,0,1,0,1,1,0,1,15,,18.145243,-73.87462
859,HAI,7,,5,2,2,2,2,1,1,1,0.454545455,0,1,0,1,0,0,10,12,,18.294243,-73.34415
860,HAI,7,,7,4,1,2,2,1,1,0,,0,1,0,1,0,0,3,11,,18.298875,-73.343478
863,HAI,7,,3,1,1,1,1,0,0,0,0.454545455,0,1,0,1,0,1,23,43,34,18.281298,-73.397453
865,HAI,7,,7,3,2,2,2,1,1,1,0.545454545,0,1,0,0,0,0,,12,,18.317323,-73.377877
866,HAI,7,,5,4,2,2,2,1,1,1,0.818181818,0,1,0,1,0,0,8,12,,18.308007,-73.245783
867,HAI,7,,4,2,2,1,2,1,1,0,0.727272727,0,1,1,1,1,1,130,278,368,18.277475,-73.130402
868,HAI,7,,5,1,1,2,1,0,1,0,0.545454545,0,1,0,1,0,1,6,24,9,18.262117,-73.546842
869,HAI,7,,6,1,2,2,1,0,0,0,0.181818182,0,0,0,0,0,0,,2,,18.228597,-73.61159
870,HAI,7,,7,3,1,2,2,0,1,0,0.272727273,0,0,0,1,0,0,,17,,18.26415,-73.542708
871,HAI,7,,7,4,2,2,2,1,1,0,0.545454545,0,1,0,1,0,0,1,7,,18.29076,-73.570847
872,HAI,7,,7,3,2,2,2,1,1,0,,0,0,0,1,0,0,,7,,18.28877,-73.519378
873,HAI,7,,6,3,2,2,2,1,1,0,,0,1,0,0,0,0,,9,,18.290455,-73.63293
874,HAI,7,,6,1,1,2,1,0,1,1,0.727272727,1,1,0,1,0,0,5,23,,18.294595,-73.646247
876,HAI,7,,7,4,2,2,2,1,1,1,0.818181818,1,1,0,1,0,0,,2,,18.245703,-73.65313
878,HAI,7,,7,2,2,2,2,0,1,0,,0,1,0,1,0,0,,9,,18.358877,-73.63331
879,HAI,7,,4,3,2,1,2,1,1,1,0.909090909,1,1,1,1,1,1,90,88,178,18.39388,-73.611923
881,HAI,7,,7,4,2,2,2,0,0,0,,0,1,0,1,0,0,,4,,18.414643,-73.65728
882,HAI,7,,6,1,2,2,1,1,0,0,0.545454545,0,1,0,1,0,0,3,12,,18.206043,-74.040712
