facil,country,region,zone,region_code,region_name,latnum,longnum,factype,mga,ftype,factype2,ownership,water_source,soapwater,st_precautions,tbservice,hivcare,meetings,quality,inpatient,numberbeds,total_full,outpatients,cumulative_cases,cumulative_deaths
11552,BAN,2,,2,Chittagong,22.038708,91.941978,12,3,2,2,2,t,t,t,f,,,t,t,0,14,66,377073,5500
11551,BAN,2,,2,Chittagong,24.095657,91.113505,12,3,2,2,2,t,t,t,f,,,f,f,,5,,377073,5500
11550,BAN,2,,2,Chittagong,21.426487,92.176862,12,3,2,2,2,f,t,t,f,,,f,f,1,6,,377073,5500
11549,BAN,1,,1,Barisal,22.708382,89.970047,12,3,1,2,2,f,t,t,f,,,f,f,,6,,377073,5500
11548,BAN,1,,1,Barisal,22.64199,90.196292,12,3,1,2,2,t,t,t,f,,,t,f,,5,,377073,5500
11547,BAN,1,,1,Barisal,22.254113,90.975055,12,3,2,2,2,t,t,t,f,,,t,f,,8,,377073,5500
11546,BAN,1,,1,Barisal,22.596302,90.703053,12,3,2,2,2,t,t,t,f,,,t,f,,4,,377073,5500
11545,BAN,1,,1,Barisal,22.689352,90.639982,12,3,1,2,2,t,t,t,f,,,t,t,0,15,9,377073,5500
11544,BAN,1,,1,Barisal,22.701478,90.360885,12,3,1,2,2,t,t,t,t,,,t,f,,17,,377073,5500
11543,BAN,1,,1,Barisal,22.713797,90.380503,12,3,1,2,2,t,t,t,t,,,t,f,,6,,377073,5500
11542,BAN,1,,1,Barisal,22.636688,90.417038,12,3,2,2,2,t,t,f,t,,,t,f,,9,,377073,5500
11541,BAN,8,,8,Mymensingh,24.932693,89.943095,10,4,1,2,2,t,t,f,f,,,t,t,25,25,575,377073,5500
11540,BAN,8,,8,Mymensingh,25.137578,89.98931,8,1,2,2,1,t,f,f,f,,,t,f,,2,,377073,5500
11539,BAN,8,,8,Mymensingh,25.216402,89.964062,6,1,2,2,1,t,f,f,f,,,t,f,,2,,377073,5500
11538,BAN,8,,8,Mymensingh,25.089088,89.964087,5,1,2,2,1,t,f,f,f,,,t,t,1,2,30,377073,5500
11537,BAN,8,,8,Mymensingh,25.021853,90.015852,10,4,1,2,2,t,t,t,t,,,f,t,20,47,80,377073,5500
11536,BAN,8,,8,Mymensingh,24.974372,90.055532,9,3,2,2,2,t,f,f,f,,,t,t,4,5,12,377073,5500
11535,BAN,8,,8,Mymensingh,25.017323,89.896355,8,1,2,2,1,f,f,f,f,,,t,f,,2,,377073,5500
11534,BAN,8,,8,Mymensingh,24.94654,90.038832,8,1,2,2,1,t,f,t,t,,,t,f,,3,,377073,5500
11533,BAN,8,,8,Mymensingh,24.988185,90.001937,5,1,2,2,1,t,t,f,f,,,t,t,1,2,48,377073,5500
11532,BAN,8,,8,Mymensingh,25.015683,89.92393,4,1,2,2,1,t,f,f,f,,,t,f,1,2,,377073,5500
11531,BAN,8,,8,Mymensingh,25.021738,90.017853,3,1,1,2,1,t,f,f,f,,,t,t,10,3,70,377073,5500
11530,BAN,8,,8,Mymensingh,25.018482,90.02424,1,1,1,1,1,t,t,f,t,,,t,t,74,82,2994,377073,5500
11529,BAN,8,,8,Mymensingh,25.126937,90.259245,8,1,2,2,1,t,f,f,f,,,f,f,,2,,377073,5500
11528,BAN,8,,8,Mymensingh,25.114273,90.107652,5,1,2,2,1,t,f,f,f,,,t,t,1,2,2,377073,5500
11527,BAN,8,,8,Mymensingh,25.140212,90.24944,5,1,2,2,1,t,f,f,f,,,t,t,1,2,5,377073,5500
11526,BAN,8,,8,Mymensingh,25.093208,90.188638,2,1,1,1,1,t,t,f,t,,,t,t,46,43,2019,377073,5500
11525,BAN,8,,8,Mymensingh,24.915283,90.1403,6,1,2,2,1,t,f,f,t,,,t,f,,4,,377073,5500
11524,BAN,8,,8,Mymensingh,24.90895,90.215225,5,1,2,2,1,f,f,f,f,,,t,f,1,0,,377073,5500
11523,BAN,8,,8,Mymensingh,24.96076,90.14752,4,1,2,2,1,t,t,f,f,,,t,f,,2,,377073,5500
11522,BAN,8,,8,Mymensingh,25.216415,90.08433,8,1,2,2,1,f,f,f,f,,,t,f,,2,,377073,5500
11521,BAN,8,,8,Mymensingh,24.965267,90.6466,8,1,2,2,1,,t,f,f,,,f,f,,3,,377073,5500
11520,BAN,8,,8,Mymensingh,24.954858,90.555847,6,1,2,2,1,,t,f,f,,,f,f,,2,,377073,5500
11519,BAN,8,,8,Mymensingh,24.845448,90.585532,5,1,2,2,1,t,t,f,f,,,f,t,0,2,4,377073,5500
11518,BAN,8,,8,Mymensingh,24.95404,90.66765,4,1,2,2,1,t,t,f,f,,,f,f,0,0,,377073,5500
11517,BAN,8,,8,Mymensingh,24.947388,90.602027,2,1,2,1,1,t,t,f,t,,,t,t,30,39,570,377073,5500
